epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,5365.49755859375,0.0003,36.625160217285156,2374.283447265625,2642.266845703125,34.32746124267578,2102.33837890625
1,2478.82275390625,0.0003,32.99213790893555,1934.72412109375,2403.994873046875,31.916332244873047,1810.71142578125
2,2352.487060546875,0.0003,32.17837142944336,1842.6265869140625,2313.86962890625,32.05146408081055,1838.9298095703125
3,2296.711181640625,0.0003,31.804044723510742,1801.236083984375,2271.6572265625,31.789581298828125,1806.3812255859375
4,2270.8251953125,0.0003,31.612276077270508,1779.804931640625,2257.845947265625,31.16737174987793,1735.5069580078125
5,2258.5390625,0.0003,31.538549423217773,1771.061279296875,2253.50732421875,31.11001205444336,1727.9681396484375
6,2249.881103515625,0.0003,31.480377197265625,1765.043701171875,2246.50927734375,31.05948829650879,1725.2110595703125
7,2245.15283203125,0.0003,31.43949317932129,1761.727294921875,2232.66845703125,31.450876235961914,1769.3106689453125
8,2243.132080078125,0.0003,31.429136276245117,1762.26416015625,2232.498046875,31.162405014038086,1736.4827880859375
9,2245.653076171875,0.0003,31.421859741210938,1761.437744140625,2226.985595703125,31.18681526184082,1740.423583984375
10,2245.4873046875,0.0003,31.400266647338867,1760.3131103515625,2225.4541015625,31.112810134887695,1733.8387451171875
11,2241.443115234375,0.0003,31.413358688354492,1761.822021484375,2239.147705078125,30.872859954833984,1705.24267578125
12,2238.0751953125,0.0003,31.35942840576172,1756.65625,2220.971435546875,31.09974479675293,1733.426513671875
13,2233.3056640625,0.0003,31.350557327270508,1755.82958984375,2251.1357421875,30.87445640563965,1705.130126953125
14,2231.28759765625,0.0003,31.316877365112305,1752.25634765625,2260.2607421875,30.62598419189453,1676.5386962890625
15,2228.76171875,0.0003,31.30657196044922,1751.412841796875,2219.97412109375,31.45556640625,1772.76025390625
16,2227.719482421875,0.0003,31.29245376586914,1750.1439208984375,2221.25048828125,31.31220054626465,1755.291259765625
17,2225.812255859375,0.0003,31.29678726196289,1751.6265869140625,2214.671630859375,31.47364616394043,1776.827392578125
18,2223.05078125,0.0003,31.272422790527344,1749.5374755859375,2209.434814453125,30.99241828918457,1719.739990234375
19,2218.818115234375,0.0003,31.24805450439453,1746.823974609375,2209.388671875,31.06031036376953,1731.7838134765625
20,2218.491943359375,0.0003,31.245458602905273,1747.4522705078125,2269.787109375,30.592639923095703,1676.3988037109375
21,2216.6357421875,0.0003,31.25051498413086,1748.0118408203125,2218.935546875,30.852811813354492,1710.2021484375
22,2215.057861328125,0.0003,31.226913452148438,1746.06103515625,2243.838623046875,31.873579025268555,1820.3507080078125
23,2216.621337890625,0.0003,31.237436294555664,1747.4488525390625,2210.60400390625,31.3365478515625,1761.2696533203125
24,2214.016845703125,0.0003,31.231857299804688,1746.2939453125,2228.604736328125,30.702482223510742,1688.9754638671875
25,2211.27490234375,0.0003,31.219966888427734,1744.6165771484375,2205.664306640625,31.038711547851562,1723.0206298828125
26,2207.486328125,0.0003,31.195711135864258,1742.8887939453125,2194.477294921875,30.95041275024414,1719.947265625
27,2210.222412109375,0.0003,31.204673767089844,1743.8411865234375,2200.50927734375,31.29070281982422,1757.7618408203125
28,2211.854248046875,0.0003,31.204816818237305,1743.28076171875,2227.3544921875,30.58995819091797,1679.155029296875
29,2213.34765625,0.0003,31.25057601928711,1747.6446533203125,2206.81494140625,30.798568725585938,1700.878173828125
30,2212.620849609375,0.0003,31.226085662841797,1743.9351806640625,2213.621826171875,30.753026962280273,1697.3277587890625
31,2210.94921875,0.0003,31.220905303955078,1744.9833984375,2286.822998046875,30.77813148498535,1682.1134033203125
32,2209.916748046875,0.0003,31.20001792907715,1742.58544921875,2209.856201171875,30.90184783935547,1712.124267578125
33,2212.094970703125,0.0003,31.221921920776367,1744.3253173828125,2207.29931640625,30.911880493164062,1712.8521728515625
34,2210.8544921875,0.0003,31.212121963500977,1742.1922607421875,2209.007568359375,30.852182388305664,1704.3905029296875
35,2208.66650390625,0.0003,31.210289001464844,1743.2523193359375,2215.027587890625,30.700241088867188,1692.73486328125
36,2209.481201171875,0.0003,31.19826316833496,1743.426513671875,2215.21923828125,31.48198890686035,1778.38330078125
37,2210.159423828125,0.0003,31.214448928833008,1744.8856201171875,2220.15966796875,30.610177993774414,1681.4605712890625
38,2210.488525390625,0.0003,31.215967178344727,1744.15771484375,2313.10498046875,32.419185638427734,1888.31103515625
39,2210.69482421875,0.0003,31.20148468017578,1741.19287109375,2201.347412109375,31.019954681396484,1725.19677734375
40,2207.256103515625,0.0003,31.194265365600586,1741.663818359375,2195.50732421875,31.203859329223633,1751.430419921875
41,2204.386474609375,0.0003,31.183460235595703,1743.04345703125,2198.1875,30.85906410217285,1708.7384033203125
42,2202.40478515625,0.0003,31.156558990478516,1739.5374755859375,2208.386474609375,30.73008918762207,1691.7432861328125
43,2199.3857421875,0.0003,31.13861083984375,1737.30615234375,2193.83056640625,30.826841354370117,1705.76806640625
44,2199.031494140625,0.0003,31.13396644592285,1736.3363037109375,2196.921142578125,30.907873153686523,1710.51025390625
